customerid,age,gender,income,occupation,location,householdsize,accounttype,accounttenureyears,avgbalance,balancevolatility,loantype,loanamount,creditscore,creditutilizationratio,delinquencycount,monthlytransactions,digitalusage,channelpreference,dormantdays,revenuecontribution,crosssellindex,salarypattern,spendcategory,cluster,segment_name,value_tier,risk_level,digital_level,engagement_status,life_stage,financial_health,product_potential,channel_type,income_category
CUST1000,56,Female,156967,Self-Employed,Mumbai,4,Savings,17,33733.0,1.3,None,0.0,841,0.74,2,55,64,Mobile,324,67914.0,0,Stable,Utilities,0,Premium Loyalists,Gold,Medium Risk,Digital Adopter,Dormant,Pre-Retirement,Fair,High Cross-sell,Digital First,Upper Middle
CUST1001,69,Female,170810,Salaried,Mumbai,2,Current,1,217752.0,0.59,None,0.0,536,0.35,3,179,56,Branch,12,68055.0,0,Stable,Luxury,2,Digital Seniors,Gold,Medium Risk,Digital Adopter,Highly Active,Retired,Fair,High Cross-sell,Relationship Banking,Upper Middle
CUST1002,46,Male,50746,Self-Employed,Hyderabad,1,FD,0,3050.0,1.3,Home,173724.0,578,0.3,1,86,92,Web,188,88697.0,2,Stable,Utilities,4,Growth Seekers,Gold,Low Risk,Digital Native,Dormant,Pre-Retirement,Fair,Medium Cross-sell,Digital First,Middle Income
CUST1003,32,Male,69377,Salaried,Bangalore,1,Savings,14,110996.0,1.13,Sme,203502.0,647,0.35,1,62,98,Web,286,6355.0,4,Irregular,Mixed,0,Premium Loyalists,Bronze,Low Risk,Digital Native,Dormant,Established Professional,Good,Low Cross-sell,Digital First,Middle Income
CUST1004,60,Female,199476,Student,Mumbai,2,Current,4,34933.0,1.58,None,0.0,403,0.77,0,79,39,ATM,207,55120.0,1,Stable,Utilities,4,Growth Seekers,Gold,Medium Risk,Traditional,Dormant,Retired,Fair,Medium Cross-sell,Self Service,Upper Middle
CUST1005,25,Male,74045,Salaried,Bangalore,4,Overdraft,19,25951.0,0.3,Home,424226.0,816,0.66,4,189,13,ATM,113,75619.0,2,Stable,E-commerce,3,Retirement Planners,Gold,High Risk,Traditional,At Risk,Young Professional,Fair,Medium Cross-sell,Self Service,Middle Income
CUST1006,38,Male,117888,Retired,Chennai,1,Savings,10,33413.0,1.55,Sme,121999.0,547,0.19,3,27,34,ATM,21,39342.0,3,Stable,Travel,1,Standard Savers,Silver,Medium Risk,Traditional,Active,Established Professional,Fair,Low Cross-sell,Self Service,Upper Middle
CUST1007,56,Male,190862,Retired,Delhi,1,Current,9,166873.0,1.13,Auto,114793.0,663,0.17,0,180,47,Mobile,348,86992.0,3,Stable,Utilities,4,Growth Seekers,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Excellent,Low Cross-sell,Digital First,Upper Middle
CUST1008,36,Female,127455,Salaried,Chennai,5,FD,1,187691.0,1.93,Home,447907.0,620,0.1,4,132,83,Web,213,79860.0,0,Stable,Utilities,4,Growth Seekers,Gold,High Risk,Digital Native,Dormant,Established Professional,Good,High Cross-sell,Digital First,Upper Middle
CUST1009,40,Female,156672,Salaried,Chennai,4,FD,2,427129.0,0.75,Personal,457373.0,585,0.66,3,154,55,Branch,170,3257.0,3,Stable,E-commerce,3,Retirement Planners,Bronze,Medium Risk,Digital Adopter,At Risk,Established Professional,Poor,Low Cross-sell,Relationship Banking,Upper Middle
CUST1010,28,Female,113179,Salaried,Hyderabad,1,Savings,11,375717.0,1.3,Home,370321.0,448,0.76,2,21,48,ATM,322,28364.0,2,Stable,Travel,4,Growth Seekers,Silver,Medium Risk,Digital Adopter,Dormant,Young Professional,Poor,Medium Cross-sell,Self Service,Upper Middle
CUST1011,28,Male,191836,Salaried,Delhi,4,Current,19,434816.0,1.87,Home,12289.0,383,0.27,3,73,12,Branch,53,25972.0,3,Irregular,Travel,1,Standard Savers,Silver,Medium Risk,Traditional,Active,Young Professional,Fair,Low Cross-sell,Relationship Banking,Upper Middle
CUST1012,41,Male,65714,Retired,Chennai,2,Savings,4,189847.0,0.29,Sme,176048.0,705,0.02,1,112,60,Branch,297,27654.0,2,Stable,Mixed,4,Growth Seekers,Silver,Low Risk,Digital Adopter,Dormant,Established Professional,Excellent,Medium Cross-sell,Relationship Banking,Middle Income
CUST1013,53,Female,122946,Self-Employed,Chennai,3,Savings,4,222888.0,1.88,Auto,174668.0,755,0.08,1,143,48,ATM,319,81769.0,1,Stable,Utilities,4,Growth Seekers,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Excellent,Medium Cross-sell,Self Service,Upper Middle
CUST1014,57,Female,129616,Salaried,Delhi,1,Current,5,262044.0,1.41,Personal,416387.0,460,0.97,2,98,45,Web,125,82423.0,0,Stable,Travel,3,Retirement Planners,Gold,High Risk,Digital Adopter,At Risk,Pre-Retirement,Poor,High Cross-sell,Digital First,Upper Middle
CUST1015,41,Female,125983,Salaried,Delhi,5,Current,8,222165.0,0.23,None,0.0,759,0.3,0,19,61,ATM,276,30320.0,3,Irregular,Travel,0,Premium Loyalists,Silver,Low Risk,Digital Adopter,Dormant,Established Professional,Excellent,Low Cross-sell,Self Service,Upper Middle
CUST1016,20,Female,144123,Retired,Chennai,2,Overdraft,1,244662.0,0.67,None,0.0,849,0.77,4,95,7,Branch,203,21808.0,2,Irregular,Luxury,0,Premium Loyalists,Bronze,High Risk,Traditional,Dormant,Young Professional,Fair,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1017,39,Male,169661,Retired,Delhi,4,Current,11,167472.0,1.45,Home,86365.0,799,0.62,3,167,42,ATM,193,53389.0,4,Stable,Luxury,0,Premium Loyalists,Gold,Medium Risk,Digital Adopter,Dormant,Established Professional,Fair,Low Cross-sell,Self Service,Upper Middle
CUST1018,19,Female,63484,Student,Chennai,2,FD,2,398710.0,0.23,Sme,230662.0,808,0.38,1,37,19,Branch,168,96690.0,0,Irregular,Travel,1,Standard Savers,Gold,Low Risk,Traditional,At Risk,Young Professional,Good,High Cross-sell,Relationship Banking,Middle Income
CUST1019,41,Male,102989,Salaried,Chennai,1,Savings,19,212760.0,1.21,Sme,376158.0,780,0.21,0,129,96,Branch,151,35773.0,1,Stable,Mixed,2,Digital Seniors,Silver,Low Risk,Digital Native,At Risk,Established Professional,Excellent,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1020,61,Female,56212,Student,Hyderabad,4,Savings,11,123744.0,0.76,None,0.0,413,0.12,2,20,89,ATM,34,52168.0,2,Stable,Travel,1,Standard Savers,Gold,Medium Risk,Digital Native,Active,Retired,Fair,Medium Cross-sell,Self Service,Middle Income
CUST1021,47,Male,63525,Retired,Mumbai,3,FD,16,352575.0,1.28,Personal,179785.0,877,0.62,1,166,38,Mobile,183,28747.0,1,Stable,E-commerce,0,Premium Loyalists,Silver,Medium Risk,Traditional,Dormant,Pre-Retirement,Good,Medium Cross-sell,Digital First,Middle Income
CUST1022,55,Female,198274,Retired,Chennai,2,Current,9,206763.0,0.19,Auto,422950.0,660,0.77,2,70,84,ATM,285,77396.0,1,Stable,Utilities,0,Premium Loyalists,Gold,Medium Risk,Digital Native,Dormant,Pre-Retirement,Fair,Medium Cross-sell,Self Service,Upper Middle
CUST1023,19,Female,183707,Self-Employed,Bangalore,1,FD,13,491635.0,1.76,Personal,72588.0,640,0.64,3,172,48,Mobile,56,84692.0,3,Irregular,Mixed,3,Retirement Planners,Gold,Medium Risk,Digital Adopter,Highly Active,Young Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1024,38,Female,83208,Salaried,Mumbai,5,FD,16,44001.0,1.95,Auto,63646.0,748,0.53,4,160,63,Branch,221,58505.0,3,Stable,E-commerce,0,Premium Loyalists,Gold,High Risk,Digital Adopter,Dormant,Established Professional,Good,Low Cross-sell,Relationship Banking,Middle Income
CUST1025,50,Female,53828,Student,Mumbai,4,Overdraft,17,68364.0,1.94,None,0.0,479,0.04,1,51,61,Branch,302,86896.0,2,Stable,Mixed,4,Growth Seekers,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Good,Medium Cross-sell,Relationship Banking,Middle Income
CUST1026,29,Male,169783,Retired,Mumbai,2,FD,18,388132.0,1.52,Auto,482238.0,706,0.97,1,171,53,Mobile,162,19135.0,4,Irregular,E-commerce,3,Retirement Planners,Bronze,High Risk,Digital Adopter,At Risk,Young Professional,Good,Low Cross-sell,Digital First,Upper Middle
CUST1027,39,Female,23420,Retired,Hyderabad,2,Savings,16,308172.0,0.35,Sme,280887.0,495,0.8,3,152,8,Branch,18,91887.0,2,Stable,Utilities,3,Retirement Planners,Gold,Medium Risk,Traditional,Highly Active,Established Professional,Poor,Medium Cross-sell,Relationship Banking,Lower Income
CUST1028,61,Male,116752,Student,Chennai,3,FD,13,239506.0,1.54,Home,310512.0,765,0.29,0,128,87,Mobile,263,97035.0,4,Stable,Utilities,2,Digital Seniors,Gold,Low Risk,Digital Native,Dormant,Retired,Excellent,Low Cross-sell,Digital First,Upper Middle
CUST1029,42,Male,151373,Self-Employed,Hyderabad,3,Savings,8,229731.0,0.15,Home,221097.0,610,0.98,4,5,36,Mobile,281,48377.0,1,Stable,Luxury,3,Retirement Planners,Silver,High Risk,Traditional,Dormant,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1030,66,Male,196308,Retired,Chennai,5,Savings,7,431789.0,0.14,None,0.0,561,0.6,1,91,48,Branch,112,24554.0,0,Stable,E-commerce,1,Standard Savers,Bronze,Low Risk,Digital Adopter,At Risk,Retired,Fair,High Cross-sell,Relationship Banking,Upper Middle
CUST1031,44,Male,135294,Salaried,Hyderabad,5,Savings,1,132878.0,0.71,Sme,399657.0,718,0.58,4,132,40,Web,326,63491.0,2,Stable,Luxury,4,Growth Seekers,Gold,High Risk,Traditional,Dormant,Established Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1032,59,Female,144019,Retired,Hyderabad,1,Current,12,387487.0,1.03,Personal,119735.0,705,0.75,1,195,16,Mobile,29,56621.0,2,Stable,E-commerce,3,Retirement Planners,Gold,Medium Risk,Traditional,Highly Active,Pre-Retirement,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1033,45,Male,85726,Salaried,Bangalore,1,Overdraft,6,188710.0,1.56,Sme,155683.0,442,0.81,4,71,87,ATM,134,59283.0,4,Stable,Luxury,3,Retirement Planners,Gold,High Risk,Digital Native,At Risk,Pre-Retirement,Poor,Low Cross-sell,Self Service,Middle Income
CUST1034,33,Male,161564,Student,Hyderabad,5,Savings,8,129301.0,1.4,Home,382035.0,641,0.66,2,8,20,ATM,66,86140.0,1,Stable,Utilities,3,Retirement Planners,Gold,Medium Risk,Traditional,Active,Established Professional,Fair,Medium Cross-sell,Self Service,Upper Middle
CUST1035,32,Male,135668,Salaried,Delhi,5,Savings,10,389439.0,0.95,Home,107971.0,615,0.13,1,190,50,Branch,64,17923.0,1,Irregular,Mixed,2,Digital Seniors,Bronze,Low Risk,Digital Adopter,Highly Active,Established Professional,Good,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1036,64,Female,26102,Student,Bangalore,4,Current,13,161829.0,0.62,Sme,12149.0,400,0.34,4,157,58,Web,291,48591.0,4,Stable,Luxury,4,Growth Seekers,Silver,High Risk,Digital Adopter,Dormant,Retired,Fair,Low Cross-sell,Digital First,Lower Income
CUST1037,68,Female,138015,Salaried,Hyderabad,3,Savings,3,35636.0,1.99,Sme,362246.0,543,0.93,0,51,38,Branch,24,63261.0,1,Stable,E-commerce,3,Retirement Planners,Gold,High Risk,Traditional,Active,Retired,Fair,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1038,61,Female,46641,Student,Mumbai,1,FD,12,212169.0,0.91,Home,321333.0,789,0.22,2,42,54,Web,36,55336.0,3,Stable,E-commerce,2,Digital Seniors,Gold,Medium Risk,Digital Adopter,Active,Retired,Good,Low Cross-sell,Digital First,Lower Income
CUST1039,69,Female,185656,Salaried,Delhi,3,FD,1,180352.0,0.96,Personal,238976.0,311,0.37,2,147,40,Mobile,0,75083.0,0,Stable,Utilities,1,Standard Savers,Gold,Medium Risk,Traditional,Highly Active,Retired,Fair,High Cross-sell,Digital First,Upper Middle
CUST1040,20,Male,183817,Self-Employed,Delhi,3,Overdraft,4,287406.0,0.41,None,0.0,538,0.43,0,195,38,Mobile,36,61948.0,2,Stable,E-commerce,1,Standard Savers,Gold,Low Risk,Traditional,Highly Active,Young Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1041,54,Male,174165,Salaried,Delhi,5,Savings,10,343579.0,1.61,None,0.0,860,0.44,4,25,12,Mobile,140,34002.0,0,Stable,Travel,0,Premium Loyalists,Silver,High Risk,Traditional,At Risk,Pre-Retirement,Good,High Cross-sell,Digital First,Upper Middle
CUST1042,68,Female,123746,Salaried,Bangalore,4,Current,5,194283.0,1.42,Sme,42668.0,341,0.61,3,61,63,Mobile,231,81098.0,2,Stable,Mixed,4,Growth Seekers,Gold,Medium Risk,Digital Adopter,Dormant,Retired,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1043,24,Male,56631,Self-Employed,Hyderabad,2,FD,17,449058.0,0.52,None,0.0,893,0.94,0,121,10,ATM,135,74016.0,3,Irregular,Luxury,3,Retirement Planners,Gold,High Risk,Traditional,At Risk,Young Professional,Good,Low Cross-sell,Self Service,Middle Income
CUST1044,38,Male,92991,Retired,Hyderabad,4,Current,9,391727.0,0.26,Home,469882.0,728,0.24,4,185,18,ATM,187,27672.0,1,Stable,Mixed,2,Digital Seniors,Silver,High Risk,Traditional,Dormant,Established Professional,Good,Medium Cross-sell,Self Service,Middle Income
CUST1045,26,Male,24014,Retired,Mumbai,4,Current,3,451195.0,1.39,Home,88204.0,457,0.12,0,50,10,Branch,127,5213.0,4,Irregular,Utilities,1,Standard Savers,Bronze,Low Risk,Traditional,At Risk,Young Professional,Good,Low Cross-sell,Relationship Banking,Lower Income
CUST1046,56,Female,31093,Salaried,Mumbai,3,FD,8,246596.0,1.34,Sme,211830.0,515,0.2,0,146,76,Web,200,11293.0,3,Stable,Luxury,2,Digital Seniors,Bronze,Low Risk,Digital Native,Dormant,Pre-Retirement,Good,Low Cross-sell,Digital First,Lower Income
CUST1047,35,Female,38070,Self-Employed,Delhi,4,Current,5,475686.0,0.62,Sme,196501.0,761,0.89,1,149,45,Mobile,126,56860.0,0,Irregular,Luxury,3,Retirement Planners,Gold,High Risk,Digital Adopter,At Risk,Established Professional,Good,High Cross-sell,Digital First,Lower Income
CUST1048,21,Male,55777,Salaried,Mumbai,1,FD,1,432413.0,1.91,Sme,416885.0,433,0.65,4,43,44,Mobile,256,63507.0,4,Stable,Travel,4,Growth Seekers,Gold,High Risk,Digital Adopter,Dormant,Young Professional,Poor,Low Cross-sell,Digital First,Middle Income
CUST1049,42,Female,76958,Student,Bangalore,3,Current,16,304988.0,0.39,Personal,165140.0,366,0.29,3,141,0,Web,163,58134.0,1,Irregular,Utilities,1,Standard Savers,Gold,Medium Risk,Traditional,At Risk,Established Professional,Fair,Medium Cross-sell,Digital First,Middle Income
CUST1050,31,Female,102074,Student,Hyderabad,1,FD,4,327898.0,0.92,None,0.0,306,0.82,1,103,39,Web,34,3100.0,3,Stable,E-commerce,1,Standard Savers,Bronze,High Risk,Traditional,Highly Active,Established Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1051,67,Female,30729,Salaried,Delhi,2,Savings,5,496084.0,1.89,Sme,140507.0,825,0.86,0,81,18,Branch,193,62997.0,4,Stable,Travel,3,Retirement Planners,Gold,High Risk,Traditional,Dormant,Retired,Good,Low Cross-sell,Relationship Banking,Lower Income
CUST1052,26,Female,196089,Retired,Mumbai,3,Overdraft,11,428373.0,0.9,Auto,225160.0,372,0.85,0,119,75,Web,190,29172.0,3,Stable,Travel,3,Retirement Planners,Silver,High Risk,Digital Native,Dormant,Young Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1053,43,Female,178823,Retired,Bangalore,2,FD,9,340273.0,1.31,Auto,183321.0,698,0.92,0,138,71,Mobile,103,21132.0,3,Irregular,Mixed,3,Retirement Planners,Bronze,High Risk,Digital Native,At Risk,Established Professional,Good,Low Cross-sell,Digital First,Upper Middle
CUST1054,19,Male,125864,Salaried,Bangalore,3,FD,5,303186.0,0.86,Home,37384.0,704,0.25,4,155,71,Mobile,22,19199.0,1,Stable,Mixed,2,Digital Seniors,Bronze,High Risk,Digital Native,Highly Active,Young Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1055,37,Female,150858,Salaried,Mumbai,5,Overdraft,7,62665.0,0.62,None,0.0,877,0.76,4,191,60,Mobile,264,37609.0,2,Stable,Mixed,0,Premium Loyalists,Silver,High Risk,Digital Adopter,Dormant,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1056,45,Male,125510,Student,Hyderabad,4,FD,1,247584.0,1.97,Sme,390103.0,429,0.46,1,95,11,Mobile,289,43965.0,4,Stable,Travel,4,Growth Seekers,Silver,Low Risk,Traditional,Dormant,Pre-Retirement,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1057,64,Male,74748,Retired,Mumbai,5,FD,11,117953.0,0.88,Auto,76153.0,765,0.84,3,102,60,Mobile,259,9016.0,1,Stable,E-commerce,0,Premium Loyalists,Bronze,High Risk,Digital Adopter,Dormant,Retired,Fair,Medium Cross-sell,Digital First,Middle Income
CUST1058,24,Female,25801,Salaried,Delhi,2,Current,12,477072.0,1.8,None,0.0,505,0.73,1,124,32,Branch,357,40779.0,3,Stable,Luxury,4,Growth Seekers,Silver,Medium Risk,Traditional,Dormant,Young Professional,Fair,Low Cross-sell,Relationship Banking,Lower Income
CUST1059,61,Male,170262,Student,Mumbai,4,Overdraft,6,159448.0,0.54,Home,75388.0,565,0.78,2,50,44,Mobile,74,32881.0,1,Stable,Mixed,3,Retirement Planners,Silver,Medium Risk,Digital Adopter,Active,Retired,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1060,25,Male,49592,Retired,Bangalore,3,Savings,9,187626.0,0.5,Personal,31401.0,836,0.66,0,42,89,Branch,354,83594.0,2,Irregular,E-commerce,0,Premium Loyalists,Gold,Medium Risk,Digital Native,Dormant,Young Professional,Good,Medium Cross-sell,Relationship Banking,Lower Income
CUST1061,64,Male,30647,Self-Employed,Mumbai,4,FD,12,146271.0,0.16,None,0.0,552,0.18,0,146,91,Mobile,71,25472.0,4,Irregular,Utilities,2,Digital Seniors,Silver,Low Risk,Digital Native,Highly Active,Retired,Good,Low Cross-sell,Digital First,Lower Income
CUST1062,52,Female,159788,Student,Hyderabad,1,Overdraft,16,119533.0,1.34,None,0.0,588,0.55,0,104,68,ATM,258,52813.0,2,Irregular,Mixed,0,Premium Loyalists,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Good,Medium Cross-sell,Self Service,Upper Middle
CUST1063,31,Female,130627,Retired,Chennai,4,Current,13,475628.0,0.8,Personal,232601.0,463,0.98,1,76,7,ATM,187,37021.0,0,Stable,Luxury,3,Retirement Planners,Silver,High Risk,Traditional,Dormant,Established Professional,Fair,High Cross-sell,Self Service,Upper Middle
CUST1064,34,Male,90316,Retired,Mumbai,1,Savings,1,445164.0,1.74,None,0.0,394,0.94,1,194,24,ATM,172,55131.0,4,Irregular,Utilities,3,Retirement Planners,Gold,High Risk,Traditional,At Risk,Established Professional,Fair,Low Cross-sell,Self Service,Middle Income
CUST1065,53,Female,22368,Student,Hyderabad,4,Overdraft,10,74781.0,1.0,Home,34084.0,409,0.04,0,39,90,ATM,289,25087.0,2,Irregular,Utilities,4,Growth Seekers,Silver,Low Risk,Digital Native,Dormant,Pre-Retirement,Good,Medium Cross-sell,Self Service,Lower Income
CUST1066,67,Female,97575,Self-Employed,Hyderabad,1,Savings,0,466966.0,1.94,Home,251459.0,635,0.16,1,151,45,Branch,44,13828.0,3,Stable,Luxury,2,Digital Seniors,Bronze,Low Risk,Digital Adopter,Highly Active,Retired,Good,Low Cross-sell,Relationship Banking,Middle Income
CUST1067,57,Female,26655,Student,Bangalore,2,Savings,18,67262.0,0.45,Personal,110641.0,537,0.13,4,34,86,Branch,60,62610.0,4,Stable,Mixed,2,Digital Seniors,Gold,High Risk,Digital Native,Active,Pre-Retirement,Fair,Low Cross-sell,Relationship Banking,Lower Income
CUST1068,21,Female,90031,Retired,Hyderabad,5,Savings,3,309744.0,1.75,Sme,105111.0,680,0.73,4,82,29,Web,82,97664.0,4,Stable,Travel,3,Retirement Planners,Gold,High Risk,Traditional,Active,Young Professional,Fair,Low Cross-sell,Digital First,Middle Income
CUST1069,19,Male,107922,Salaried,Hyderabad,3,FD,18,77898.0,1.58,Auto,449042.0,735,0.82,1,88,46,Mobile,122,2401.0,1,Irregular,Luxury,3,Retirement Planners,Bronze,High Risk,Digital Adopter,At Risk,Young Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1070,23,Male,144046,Salaried,Hyderabad,4,FD,10,456699.0,1.56,Sme,429667.0,782,0.21,0,117,86,ATM,357,86179.0,3,Stable,Luxury,4,Growth Seekers,Gold,Low Risk,Digital Native,Dormant,Young Professional,Excellent,Low Cross-sell,Self Service,Upper Middle
